metric_date,run_id,city,pollutant,total_records,null_rate,duplicate_rate,stale_rate,outlier_rate,flagged_rate,rejected_rate,pass_rate,quality_status
2023-09-04,run_4168eefe,apba,o3,509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-19,run_4168eefe,apba,o3,848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-07,run_4168eefe,apba,o3,656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-08,run_4168eefe,apba,o3,614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-09,run_4168eefe,apba,o3,652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-10,run_4168eefe,apba,o3,584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-18,run_4168eefe,apba,o3,455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-20,run_4168eefe,apba,o3,554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-21,run_4168eefe,apba,o3,837,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-30,run_4168eefe,apba,o3,772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-30,run_4168eefe,apba,o3,707,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-02,run_4168eefe,apba,o3,706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-24,run_4168eefe,apba,o3,748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-29,run_4168eefe,apba,o3,792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-19,run_4168eefe,apba,o3,786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-02-01,run_4168eefe,apba,o3,829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-02-28,run_4168eefe,apba,o3,532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-01,run_4168eefe,apba,o3,505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-09,run_4168eefe,apba,o3,538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-15,run_4168eefe,apba,o3,572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-20,run_4168eefe,apba,o3,539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-04,run_4168eefe,apba,o3,267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-05,run_4168eefe,apba,o3,279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-07,run_4168eefe,apba,o3,270,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-08,run_4168eefe,apba,o3,274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-15,run_4168eefe,apba,o3,277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-17,run_4168eefe,apba,o3,282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-22,run_4168eefe,apba,o3,282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-05-07,run_4168eefe,apba,o3,447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-05-11,run_4168eefe,apba,o3,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-05-13,run_4168eefe,apba,o3,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-05-30,run_4168eefe,apba,o3,484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-06-08,run_4168eefe,apba,o3,496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-06-09,run_4168eefe,apba,o3,513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-06-10,run_4168eefe,apba,o3,513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-06-28,run_4168eefe,apba,o3,479,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-03,run_4168eefe,apba,o3,491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-08,run_4168eefe,apba,o3,491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-13,run_4168eefe,apba,o3,461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
